State,Tract,County,StateLegislativeDistrictsUpper
36,010102,071,039
36,010102,087,039
36,010103,029,063
36,010200,007,052
36,010200,015,058
36,010200,047,020
36,010200,055,055
36,010200,061,027
36,010200,061,028
36,010200,067,053
36,010200,071,039
36,010200,079,040
36,010200,081,010
36,010200,087,039
36,010200,119,035
36,010201,029,063
36,010201,043,051
36,010202,029,063
36,010202,043,051
36,010300,015,058
36,010300,029,063
36,010300,043,051
36,010300,055,055
36,010300,061,027
36,010300,061,031
36,010300,071,039
36,010300,079,041
36,010300,081,012
36,010300,081,013
36,010300,119,035
36,010301,067,053
36,010321,067,053
36,010322,067,053
36,010400,015,058
36,010400,029,063
36,010400,043,051
36,010400,047,017
36,010400,047,020
36,010400,055,055
36,010400,061,027
36,010400,061,028
36,010400,067,053
36,010400,071,039
36,010400,079,041
36,010400,081,010
36,010400,119,035
36,010500,015,058
36,010500,029,063
36,010500,055,055
36,010500,067,053
36,010500,071,039
36,010500,079,041
36,010500,081,013
36,010500,085,023
36,010500,085,024
36,010500,119,035
36,010501,043,051
36,010501,087,039
36,010502,043,051
36,010502,087,039
36,010503,087,039
36,010600,015,058
36,010600,029,063
36,010600,047,017
36,010600,047,020
36,010600,067,053
36,010600,071,039
36,010600,079,041
36,010600,081,010
36,010600,119,035
36,010601,055,055
36,010601,061,028
36,010601,061,029
36,010601,087,039
36,010602,055,055
36,010602,061,028
36,010602,061,029
36,010602,087,039
36,010700,015,058
36,010700,029,063
36,010700,055,055
36,010700,067,053
36,010700,071,039
36,010700,079,041
36,010701,043,051
36,010701,081,013
36,010701,087,039
36,010701,119,035
36,010702,043,051
36,010702,087,039
36,010702,119,035
36,010703,087,039
36,010800,015,058
36,010800,047,017
36,010800,047,020
36,010800,055,055
36,010800,061,028
36,010800,067,050
36,010800,079,041
36,010800,081,010
36,010801,071,039
36,010801,071,042
36,010801,087,038
36,010801,119,035
36,010802,071,039
36,010802,087,038
36,010803,029,063
36,010803,087,038
36,010803,119,035
36,010804,029,063
36,010804,087,038
36,010804,119,035
