Station (alphabetical by borough),Boro,2008,2009,2010,2011,2012,2013,2014
"149 St-Grand Concourse (2,4,5) ",Bx,11395,12056,12744,13422,13599,14380,14576
157 St (1) ,M,9815,9843,9899,9972,10331,10677,10822
"Court St (R)/Borough Hall (2,3,4,5) ",B,36639,37057,38057,38026,38088,38428,38944
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",M,36656,36679,36939,36350,36993,36680,37160
Whitlock Av (6) ,Bx,1524,1528,524,2342,1691,1685,1707
"Nostrand Av (A,C) ",B,15658,15018,15264,15868,16439,16843,17062
Bay Ridge-95 St (R) ,B,5722,5617,5715,5848,5996,5974,6051
"36 St (M,R)",Q,3354,3743,4003,4340,4502,4540,4597
Morrison Av-Soundview (6) ,Bx,6352,6225,2304,9603,6582,6588,6669
"14 St-Union Sq (L,N,Q,R,4,5,6) ",M,109272,105118,106380,107352,108000,108158,109472
"Canal St (A,C,E) ",M,18503,17858,17975,18986,19097,19738,19974
Parsons Blvd (F) ,Q,6122,5920,6013,6174,6329,6463,6540
Clinton-Washington Avs (C) ,B,5153,5029,5404,5698,6033,6642,6719
Avenue M (Q) ,B,6188,5713,4628,4632,5544,5836,5903
175 St (A) ,M,12402,11834,12078,12737,12914,13309,13460
96 St (6) ,M,25033,24591,24870,25848,26070,26232,26529
"7 Av (B,Q) ",B,9590,9568,9614,9615,9408,9389,9495
"Kings Hwy (B,Q) ",B,19193,18462,19091,17639,18422,18799,19010
"Winthrop St (2,5) ",B,6862,6854,7185,7409,7524,7639,7720
Longwood Av (6) ,Bx,3352,3228,3273,3418,3476,3494,3531
125 St (1) ,M,7380,7221,7243,7468,7857,7995,8077
"Flushing Av (J,M) ",B,7378,7765,8243,8477,8963,9165,9258
40 St-Lowery St (7) ,Q,10725,10433,10620,10751,10919,11100,11211
"Prince St (N,R) ",M,14330,13834,14826,16223,16344,15261,15404
57 St (F) ,M,15267,13939,14426,15045,14743,15363,15506
77 St (6) ,M,36182,35288,35579,36607,36846,37182,37521
Cypress Hills (J) ,B,1393,1379,1398,1434,1391,1431,1444
"Lexington Av-53 St (E,M)/51 St (6) ",M,70667,64389,62774,66045,67821,69973,70606
Houston St (1) ,M,13705,13606,13908,14814,15247,15736,15878
"74-Bway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Q,49156,48426,49216,49828,50194,50841,51285
55 St (D) ,B,2046,1925,1944,1983,1859,1964,1981
East 149 St (6) ,Bx,4386,4323,4226,4336,4486,4580,4619
69 St (7) ,Q,4927,4878,5031,4984,5031,5085,5128
"Lorimer St (J,M) ",B,4217,4287,4364,4564,4779,4796,4836
"46 St (M,R)",Q,9860,9222,9246,9399,9482,9529,9608
"Astoria-Ditmars Blvd (N,Q) ",Q,16748,16027,16148,16541,16777,17039,17178
"Sheepshead Bay (B,Q) ",B,14899,14670,14969,13716,14083,14010,14118
"Pelham Pkwy (2,5) ",Bx,8116,8287,8691,8850,9288,9614,9688
Pennsylvania Av (3) ,B,5964,5799,5800,5798,5696,5675,5718
"15 St-Prospect Park (F,G) ",B,6002,5977,6220,4725,6018,6448,6495
"67 Av (M,R)",Q,9534,9317,9238,9333,9403,9475,9544
Franklin St (1) ,M,5857,5596,5804,5998,5931,5825,5867
"Hoyt-Schermerhorn Sts (A,C,G) ",B,9553,9642,9742,9760,9928,9604,9672
169 St (F) ,Q,8416,8412,8600,8949,8944,9042,9106
"Steinway St (M,R)",Q,14214,13901,14028,15036,15061,14769,14870
28 St (6) ,M,22750,22042,22274,22794,22715,23696,23856
"Briarwood-Van Wyck Blvd (E,F) ",Q,6026,5744,5688,5655,5196,4664,4695
Lafayette Av (C) ,B,4518,4409,4627,4665,4774,4825,4857
"30 Av (N,Q) ",Q,13781,13430,13791,13774,14515,14802,14897
"Grand Av-Newtown (M,R)",Q,17789,17387,17466,17886,18108,18298,18413
Gun Hill Rd (5) ,Bx,6025,5770,5776,5794,5953,6002,6038
116 St-Columbia University (1) ,M,15939,15891,15808,16130,16283,16363,16460
"Church Av (2,5) ",B,9539,9367,9691,9929,9851,9794,9852
Lexington Av-63 St (F) ,M,13488,13425,15816,15616,15639,15404,15493
Spring St (6) ,M,10877,10603,11132,11729,12153,12257,12327
"135 St (B,C) ",M,4791,4657,4878,5145,5409,5592,5620
"75 St-Elderts Ln (J,Z) ",Q,3758,3737,3686,3714,3757,3759,3777
Baychester Av (5) ,Bx,3924,3634,3706,3840,3980,4177,4196
53 St (R) ,B,7648,7460,7423,7533,7476,7479,7512
Avenue J (Q) ,B,6506,6237,6742,6860,5974,6036,6060
Avenue P (F) ,B,2859,2648,2667,2696,2705,2757,2767
33 St (6) ,M,31883,30129,30497,31181,31877,32783,32863
Avenue N (F) ,B,3493,3282,3377,3458,3390,3411,3419
Kosciuszko St (J) ,B,4028,4107,4315,4528,4592,4751,4761
Alabama Av (J) ,B,2119,2153,2271,2387,2464,2443,2448
Van Siclen Av (3) ,B,3090,3124,3302,3415,3431,3431,3438
"Forest Hills-71 Av (E,F,M,R)",Q,27139,26190,26494,27123,27537,27728,27784
"DeKalb Av (B,Q,R) ",B,16724,16835,16905,17180,17791,17318,17350
176 St (4) ,Bx,5105,4312,4517,5383,5623,5905,5914
Prospect Av (R) ,B,6042,6008,6006,6230,6147,5934,5943
Flushing-Main St (7) ,Q,58681,57753,59093,60184,60540,60190,60252
"Franklin Av (2,3,4,5)/Botanic Garden (S) ",B,13537,13557,14071,14795,15352,15775,15787
33 St-Rawson St (7) ,Q,13147,13405,13660,13587,13985,14246,14256
"Bergen St (F,G) ",B,10038,10154,10578,11048,11370,11562,11570
190 St (A) ,M,3993,3891,3988,4425,4592,4546,4549
90 St-Elmhurst Av (7) ,Q,17303,16618,16647,16679,16768,16743,16747
Eastchester-Dyre Av (5) ,Bx,4301,4189,4333,4603,4765,4948,4948
"Hewes St (J,M) ",B,2143,2272,2420,2628,2811,2859,2859
116 St (6) ,M,14698,14899,15655,16206,16514,16675,16674
"Astoria Blvd (N,Q) ",Q,11146,10993,11173,11809,12127,12210,12209
